,X,Y
150,23.661388889,12.9
152,10.284722222000001,23.824722222
153,8.15500000000003,18.8688888890001
154,8.157500000000029,18.8691666670001
155,8.15611111100003,18.8688888890001
156,7.992222222000071,18.895
157,7.94111111100005,19.137777778
158,7.94000000000005,19.136388889000003
159,38.364166667000106,17.253055556
163,3.6419444440000497,17.971944444000002
166,39.2500000000001,16.0000000000001
169,3.6333333330000497,17.966666667000002
170,71.8000000000001,26.916666667000104
171,69.9833333330001,27.133333333000103
172,69.8666666670001,26.9833333330001
173,31.116666667000104,13.7
174,32.5000000000001,12.4833333330001
176,8.28500000000003,18.820555556
177,6.3630555560000595,18.924444444000102
178,45.25000000000011,24.0500000000001
179,-12.0077777779999,18.456944444
180,47.4,13.9166666670001
181,47.050000000000104,14.133333333000099
187,39.1000000000001,16.466666667000002
188,39.0000000000001,16.8000000000001
189,38.833333333,16.466666667000002
191,37.8500000000001,18.316666667
192,37.8500000000001,18.35
195,1.98333333300008,17.7
196,-11.9875,18.251944444000102
197,1.93527777800006,17.468611110999998
199,39.1666666670001,22.283333333
200,30.766666667,14.1
204,2.57916666700004,17.3105555560001
205,38.0500000000001,24.083333333000002
208,39.2,16.2500000000001
209,43.315277778000095,14.191666667
210,39.3666666670001,14.9166666670001
212,38.5000000000001,14.833333332999999
213,38.8666666670001,17.583333333
214,2.08333333300004,17.45
215,-12.2599999999999,18.4975000000001
219,8.06527777800005,19.118333333000102
220,8.73083333300002,19.073888889000003
221,8.88666666700004,18.850277778000102
222,7.94055555600005,19.1116666670001
223,7.9416666670000495,19.114166667000102
224,8.18944444400006,19.6763888890001
225,2.51666666700004,17.271666667
229,70.5000000000001,27.2
230,2.13944444400005,17.565555556
233,-11.8,19.083333333
234,-12.466666667,18.6666666670001
237,1.5000000000000602,19.000000000000103
241,41.083333333,20.1666666670001
251,38.9333333330001,16.466666667000002
252,38.7500000000001,16.45
253,2.14222222200004,17.429722222000102
254,41.1666666670001,20.933333333000103
258,69.9666666670001,26.416666667000104
259,-13.8333333329999,18.500000000000103
260,-13.9999999999999,18.250000000000103
261,8.366666667000061,18.833333333
262,39.1333333330001,22.7
263,9.020000000000039,18.680000000000103
264,4.6102777780000705,17.3627777780001
265,3.8547222220000203,18.891111111
266,2.7669444440000497,18.167500000000103
268,7.633333333000049,19.033333332999998
269,7.90000000000003,18.9833333330001
270,7.70000000000005,18.633333333000103
271,1.93333333300006,17.4833333330001
272,-11.783333333,15.566666667
273,-11.783333333,24.842777778000002
275,38.5000000000001,17.883333333000103
277,38.8500000000001,17.1666666670001
278,38.6666666670001,17.1166666670001
279,38.533333333,17.3666666670001
280,38.9925000000001,16.394722222000002
281,-11.5833333329999,23.4833333330001
284,23.5000000000001,13.1
285,23.583333333000002,13.9333333330001
286,30.6000000000001,24.666666667000104
287,5.7500000000000595,18.966666667000002
288,7.58333333300004,18.333333333
290,38.4,17.766666667
291,38.3500000000001,17.966666667000002
296,37.783333333,12.1166666670001
297,39.3500000000001,12.9
298,7.283333333000031,19.250000000000103
300,6.9166666670000705,18.95
306,38.8666666670001,17.2
307,23.9,13.1
309,39.1333333330001,15.2500000000001
310,39.2500000000001,16.033333332999998
311,-13.5088888889999,20.810277778000103
314,-10.716666667,21.6
321,35.588055556,15.318055556
322,9.016666667000038,18.4833333330001
328,23.466666667,12.9333333330001
329,23.383333333000103,12.8666666670001
330,23.316666667,12.633333333000099
331,33.533333333,14.4
332,29.366666667000104,14.9166666670001
333,29.1,14.6
334,39.066666667,15.833333332999999
335,6.96666666700003,18.6166666670001
336,-11.8333333329999,24.116666667000104
337,-11.866666666999901,25.866666667000104
338,-11.835555556,24.873888889000103
339,39.1333333330001,15.833333332999999
340,39.391666666999996,15.7500000000001
341,4.883333333000049,22.9
342,5.96972222200003,23.403333333000003
344,0.96667,19.7333333330001
345,1.68333333300006,20.316666667
346,1.5166666670000402,20.266666667
347,39.555277778000104,15.4180555560001
348,1.4166666670000703,19.9166666670001
